specObjId,ra,dec,run,camcol,field,z,zErr,interval,objID,class,clean,umag,gmag,rmag,imag,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,SDSS16,Z,u_extinction,g_extinction,r_extinction,i_extinction,z_extinction,u,g,r,i,label,u-g,g-r,r-i,i-z
7.353655072716493e+17,6.7919226,-9.7431558,1740,4,67,18.004707750559515,0.0001857726,"(2.749, 3.0]",1237652947991724069,6,True,19.128,18.631,18.264,18.157,18.038,0.027,0.008,0.008,0.009,0.029,SDSS J002710.06-094435.3,2.861207,0.1814479233345323,0.1420773654408783,0.0969238520867765,0.0718874382800347,0.053292249440484,18.90655207666547,18.48892263455912,18.16707614791322,18.085112561719964,0,0.41762944210634956,0.32184648664589943,0.0819635861932575,0.08040481116044873
3.500543562859258e+18,16.0212,-9.5398903,1740,4,128,19.245813218414693,0.0004396786,"(2.749, 3.0]",1237652947995656293,6,False,20.05,19.4,19.204,19.181,19.281,0.051,0.013,0.014,0.021,0.078,SDSS J010405.08-093223.5,2.788549,0.1878983720766564,0.1471281962597174,0.1003694817103369,0.074443026832972,0.0551867815853052,19.822101627923345,19.25287180374028,19.103630518289663,19.106556973167027,0,0.5692298241830649,0.14924128545061777,-0.002926454877364648,-0.13925624524766533
8.087518912705747e+18,26.514779,-9.4993854,5933,3,60,20.44558694588867,0.0003983339,"(2.749, 3.0]",1237670956252267000,6,True,22.416,21.152,20.72,20.693,20.464,0.254,0.038,0.039,0.047,0.15,SDSS J014603.54-092957.7,2.997489,0.1307876655726733,0.1024093669149844,0.0698627138838578,0.0518164664762302,0.0384130541113281,22.24521233442733,21.049590633085018,20.65013728611614,20.641183533523773,0,1.1956217013423114,0.39945334696887613,0.008953752592368858,0.19559658763510157
4.945206475901655e+18,37.272201,-8.0914272,6572,4,150,20.33543877801148,0.0002300597,"(2.749, 3.0]",1237673701279138024,6,True,21.793,20.786,20.524,20.623,20.355,0.189,0.027,0.034,0.052,0.171,SDSS J022905.32-080529.1,2.774739,0.134696914650047,0.105470387397106,0.0719509134751375,0.0533652629386337,0.0395612219885227,21.61830308534996,20.680529612602896,20.452049086524863,20.569634737061367,0,0.9377734727470646,0.22848052607803382,-0.11758565053650472,0.2341959590498881
8.061450865410857e+18,22.37554,-7.5698224,8095,3,448,19.297747095371346,0.0002529926,"(2.749, 3.0]",1237680241996988481,6,False,20.951,19.766,19.529,19.364,19.325,0.099,0.015,0.017,0.02,0.066,SDSS J012930.12-073411.3,2.853994,0.1608853352300095,0.125976446285412,0.0859399553778039,0.063740793468254,0.0472529046286517,20.750114664769992,19.640023553714585,19.4430600446222,19.300259206531745,0,1.1100911110554073,0.19696350909238447,0.14280083809045507,0.0025121111603993995
7.251757837309971e+17,327.37809,-7.4699927,1737,5,134,18.34843398498257,0.0006240408,"(2.749, 3.0]",1237656539119419543,6,False,17.354,17.416,17.758,18.07,18.379,0.01,0.005,0.006,0.009,0.033,SDSS J214930.73-072811.9,2.939595,0.1721657185152564,0.1348092127832482,0.0919655862085611,0.0682099427552274,0.0505660150174286,17.141834281484744,17.28119078721675,17.666034413791436,18.001790057244772,0,-0.13935650573200675,-0.3848436265746855,-0.33575564345333575,-0.34664392773779795
7.946746788643625e+18,41.275451,-7.3087759,7908,1,129,20.784139551620445,0.0007383705,"(2.749, 3.0]",1237679437743456784,6,True,22.392,21.347,21.153,20.952,20.802,0.278,0.048,0.052,0.055,0.177,SDSS J024506.10-071831.5,2.87198,0.1289061694169363,0.1009361176653834,0.0688576770019295,0.0510710408120285,0.0378604483795558,22.223093830583064,21.246063882334617,21.08414232299807,20.90092895918797,0,0.9770299482484468,0.16192155933654817,0.18321336381010056,0.11678940756752354
3.238227846912568e+18,172.62872,-7.264935,5973,3,21,19.78812083100561,0.0004953581,"(2.749, 3.0]",1237671166710251736,6,False,21.289,20.159,19.909,19.827,19.825,0.127,0.022,0.025,0.032,0.118,SDSS J113030.89-071553.7,2.846806,0.1936605642167828,0.1516401083466026,0.1034474660069965,0.0767259365748892,0.0568791689943882,21.05533943578322,20.0073598916534,19.805552533993,19.75027406342512,0,1.04797954412982,0.2018073576603996,0.055278470567881044,-0.03784676758048988
4.94045658068683e+18,38.611137,-6.590593,7908,3,112,21.115956753144182,0.0005795741,"(2.749, 3.0]",1237679438816084409,6,True,22.549,21.289,21.087,21.231,21.134,0.322,0.042,0.043,0.066,0.236,SDSS J023426.67-063526.1,2.854886,0.1295285564292031,0.1014234591866443,0.0691901368372866,0.0513176229007534,0.0380432468558166,22.3794714435708,21.18757654081336,21.017809863162714,21.179682377099248,0,1.19189490275744,0.1697666776506459,-0.16187251393653312,0.0637256239550652
8.894668211376904e+18,4.28606400000001,-4.789919,7824,4,345,22.36693029149193,0.0003955981,"(2.749, 3.0]",1237679078590972103,6,True,25.202,21.361,21.037,20.948,22.387,1.45,0.054,0.061,0.081,0.941,SDSS J001708.65-044723.6,2.848228,0.1364281949766455,0.1068260146378171,0.0728757097208714,0.0540511749366141,0.0400697085080757,25.02557180502336,21.254173985362183,20.964124290279127,20.893948825063383,0,3.7713978196611784,0.2900496950830558,0.07017546521574403,-1.4729814664285463
