ra,dec,objID,run,rerun,camcol,field,name,z
335.1402568923,12.2228889597599,1237652942090929350,1739,301,1,140,J222033.67+121322.3,4.74
335.665376191937,19.3822107967141,1237680271500444811,8102,301,2,75,J222239.70+192255.9,4.75
339.422257366426,-4.49884387450101,1237680190976622732,8083,301,4,179,J223741.33-042955.5,5.27
339.676318662427,23.9588269884633,1237680301030310870,8109,301,1,105,J223842.31+235731.7,6.03
339.985535758907,-1.85890690611673,1237678881011860622,7778,301,4,183,J223956.53-015132.0,5.11
340.989806122904,4.74628358539944,1237678825178072105,7765,301,4,195,J224357.55+044446.6,5.13
341.921483924113,9.42648965156471,1237678906774717420,7784,301,4,77,J224741.16+092535.3,5.58
342.035199561957,30.4117540905651,1237680328413414713,8115,301,4,146,J224808.44+302442.2,5.25
342.837873392859,-5.23082126866354,1237679077507859216,7824,301,2,202,J225121.09-051350.8,5.19
344.243245098351,15.0491959833684,1237656243312919198,2507,301,6,182,J225658.38+150257.1,5.02
345.469404205135,16.9330584021602,1237678601836037038,7713,301,4,138,J230152.65+165558.9,4.8
346.037468015562,10.4570017692381,1237678907850293946,7784,301,6,105,J230409.00+102725.0,5.0
347.661379557265,3.60389464180672,1237678598621954780,7712,301,6,247,J231038.72+033613.9,4.8
347.857926277252,-5.41932225496009,1237680116880769790,8066,301,2,62,J231125.87-052509.7,4.94
